game_number,winner_name,winner_ai_type,game_length,player_name,player_ai_type,average_score_per_turn,average_move_cost
5,Player2,Power,36,Player1,Balanced,0.90,7.00
5,Player2,Power,36,Player2,Power,1.25,9.00
5,Player2,Power,36,Player3,Combo,0.62,8.00
5,Player2,Power,36,Player4,Greedy,1.12,8.50
2,Player4,Greedy,37,Player1,Balanced,0.62,8.50
2,Player4,Greedy,37,Player2,Power,0.64,7.27
2,Player4,Greedy,37,Player3,Combo,0.88,8.75
2,Player4,Greedy,37,Player4,Greedy,1.25,9.75
9,Player3,Combo,37,Player1,Balanced,0.78,8.22
9,Player3,Combo,37,Player2,Power,0.88,8.75
9,Player3,Combo,37,Player3,Combo,1.00,7.60
9,Player3,Combo,37,Player4,Greedy,0.75,8.75
3,Player3,Combo,42,Player1,Balanced,0.78,8.89
3,Player3,Combo,42,Player2,Power,0.73,6.91
3,Player3,Combo,42,Player3,Combo,1.11,9.56
3,Player3,Combo,42,Player4,Greedy,0.64,6.91
4,Player1,Balanced,43,Player1,Balanced,1.00,8.20
4,Player1,Balanced,43,Player2,Power,0.90,7.40
4,Player1,Balanced,43,Player3,Combo,0.90,8.00
4,Player1,Balanced,43,Player4,Greedy,0.73,6.91
6,Player1,Balanced,39,Player1,Balanced,1.20,7.60
6,Player1,Balanced,39,Player2,Power,0.50,9.25
6,Player1,Balanced,39,Player3,Combo,1.00,8.22
6,Player1,Balanced,39,Player4,Greedy,0.50,7.60
8,Player4,Greedy,41,Player1,Balanced,0.56,8.22
8,Player4,Greedy,41,Player2,Power,0.70,7.40
8,Player4,Greedy,41,Player3,Combo,0.82,7.64
8,Player4,Greedy,41,Player4,Greedy,1.11,8.89
10,Player1,Balanced,45,Player1,Balanced,0.91,7.64
10,Player1,Balanced,45,Player2,Power,0.64,7.45
10,Player1,Balanced,45,Player3,Combo,0.80,7.80
10,Player1,Balanced,45,Player4,Greedy,0.45,7.27
7,Player2,Power,45,Player1,Balanced,0.67,9.11
7,Player2,Power,45,Player2,Power,0.83,7.50
7,Player2,Power,45,Player3,Combo,0.70,8.40
7,Player2,Power,45,Player4,Greedy,0.58,7.00
1,Player3,Combo,46,Player1,Balanced,0.67,9.11
1,Player3,Combo,46,Player2,Power,0.58,6.83
1,Player3,Combo,46,Player3,Combo,0.91,8.18
1,Player3,Combo,46,Player4,Greedy,0.58,6.67
