game_number,turn_number,player_name,ai_personality,turn_time
5,1,Player1,Balanced,0.25
5,2,Player2,Power,0.21
5,3,Player3,Combo,0.21
5,4,Player4,Greedy,0.62
5,5,Player1,Balanced,4
5,6,Player2,Power,6
5,7,Player1,Balanced,7
5,8,Player3,Combo,4
5,9,Player4,Greedy,6
5,10,Player3,Combo,13
5,11,Player1,Balanced,15
5,12,Player1,Balanced,19
5,13,Player2,Power,13
5,14,Player3,Combo,18
5,15,Player2,Power,16
5,16,Player4,Greedy,20
5,17,Player1,Balanced,40
5,18,Player3,Combo,33
5,19,Player1,Balanced,45
5,20,Player3,Combo,33
5,21,Player4,Greedy,28
5,22,Player2,Power,28
5,23,Player4,Greedy,33
5,24,Player2,Power,69
5,25,Player3,Combo,77
5,26,Player1,Balanced,94
5,27,Player2,Power,66
5,28,Player4,Greedy,140
5,29,Player4,Greedy,106
5,30,Player3,Combo,107
5,31,Player1,Balanced,213
5,32,Player1,Balanced,239
5,33,Player4,Greedy,179
5,34,Player2,Power,129
2,1,Player1,Balanced,0.26
2,2,Player2,Power,0.22
2,3,Player3,Combo,0.20
2,4,Player4,Greedy,0.64
2,5,Player3,Combo,4
2,6,Player1,Balanced,4
2,7,Player4,Greedy,6
2,8,Player3,Combo,7
2,9,Player2,Power,6
2,10,Player1,Balanced,11
2,11,Player2,Power,11
2,12,Player4,Greedy,14
2,13,Player2,Power,17
2,14,Player1,Balanced,18
2,15,Player3,Combo,21
2,16,Player2,Power,24
2,17,Player4,Greedy,22
2,18,Player1,Balanced,30
2,19,Player2,Power,34
2,20,Player4,Greedy,30
2,21,Player1,Balanced,34
2,22,Player3,Combo,35
2,23,Player2,Power,50
2,24,Player3,Combo,63
2,25,Player4,Greedy,64
2,26,Player2,Power,86
2,27,Player1,Balanced,66
2,28,Player3,Combo,226
2,29,Player2,Power,148
2,30,Player3,Combo,90
2,31,Player1,Balanced,156
2,32,Player4,Greedy,207
2,33,Player2,Power,169
2,34,Player2,Power,142
2,35,Player4,Greedy,64
9,1,Player1,Balanced,0.24
9,2,Player2,Power,0.21
9,3,Player3,Combo,0.21
9,4,Player4,Greedy,0.63
9,5,Player2,Power,4
9,6,Player4,Greedy,4
9,7,Player3,Combo,4
9,8,Player1,Balanced,6
9,9,Player2,Power,11
9,10,Player2,Power,18
9,11,Player4,Greedy,12
9,12,Player3,Combo,11
9,13,Player1,Balanced,12
9,14,Player3,Combo,19
9,15,Player1,Balanced,25
9,16,Player4,Greedy,26
9,17,Player2,Power,26
9,18,Player3,Combo,28
9,19,Player3,Combo,37
9,20,Player2,Power,32
9,21,Player1,Balanced,30
9,22,Player1,Balanced,32
9,23,Player4,Greedy,44
9,24,Player3,Combo,81
9,25,Player4,Greedy,59
9,26,Player2,Power,67
9,27,Player3,Combo,72
9,28,Player1,Balanced,181
9,29,Player4,Greedy,130
9,30,Player1,Balanced,104
9,31,Player3,Combo,185
9,32,Player2,Power,211
9,33,Player4,Greedy,242
9,34,Player1,Balanced,159
9,35,Player3,Combo,98
3,1,Player1,Balanced,0.23
3,2,Player2,Power,0.21
3,3,Player3,Combo,0.21
3,4,Player4,Greedy,0.65
3,5,Player4,Greedy,4
3,6,Player2,Power,4
3,7,Player1,Balanced,4
3,8,Player3,Combo,6
3,9,Player2,Power,11
3,10,Player4,Greedy,13
3,11,Player2,Power,15
3,12,Player3,Combo,12
3,13,Player3,Combo,18
3,14,Player1,Balanced,15
3,15,Player4,Greedy,28
3,16,Player3,Combo,32
3,17,Player2,Power,24
3,18,Player2,Power,31
3,19,Player1,Balanced,26
3,20,Player4,Greedy,29
3,21,Player4,Greedy,38
3,22,Player2,Power,35
3,23,Player1,Balanced,32
3,24,Player3,Combo,62
3,25,Player1,Balanced,58
3,26,Player2,Power,74
3,27,Player4,Greedy,66
3,28,Player2,Power,190
3,29,Player3,Combo,98
3,30,Player4,Greedy,79
3,31,Player1,Balanced,137
3,32,Player4,Greedy,183
3,33,Player1,Balanced,136
3,34,Player3,Combo,128
3,35,Player2,Power,108
3,36,Player4,Greedy,94
3,37,Player2,Power,116
3,38,Player4,Greedy,88
3,39,Player1,Balanced,74
3,40,Player3,Combo,86
4,1,Player1,Balanced,0.25
4,2,Player2,Power,0.21
4,3,Player3,Combo,0.20
4,4,Player4,Greedy,0.63
4,5,Player1,Balanced,4
4,6,Player2,Power,6
4,7,Player2,Power,11
4,8,Player1,Balanced,7
4,9,Player4,Greedy,4
4,10,Player3,Combo,6
4,11,Player3,Combo,11
4,12,Player4,Greedy,14
4,13,Player2,Power,19
4,14,Player4,Greedy,25
