game_number,winner_name,winner_ai_type,game_length,player_name,player_ai_type,average_score_per_turn,average_move_cost
1,Player1,Balanced,24,Player1,Balanced,0.83,8.00
1,Player1,Balanced,24,Player2,Random,0.50,9.00
2,Player1,Balanced,22,Player1,Balanced,1.00,7.60
2,Player1,Balanced,22,Player2,Random,0.40,7.20
3,Player1,Balanced,25,Player1,Balanced,1.00,8.73
3,Player1,Balanced,25,Player2,Random,0.25,7.83
4,Player1,Balanced,24,Player1,Balanced,0.91,8.73
4,Player1,Balanced,24,Player2,Random,0.45,8.36
5,Player1,Balanced,21,Player1,Balanced,1.11,9.78
5,Player1,Balanced,21,Player2,Random,0.20,8.20
6,Player1,Balanced,23,Player1,Balanced,0.91,7.64
6,Player1,Balanced,23,Player2,Random,0.10,8.20
7,Player1,Balanced,23,Player1,Balanced,1.00,8.60
7,Player1,Balanced,23,Player2,Random,0.27,7.27
8,Player1,Balanced,23,Player1,Balanced,0.91,8.18
8,Player1,Balanced,23,Player2,Random,0.70,8.40
9,Player1,Balanced,24,Player1,Balanced,0.83,6.67
9,Player1,Balanced,24,Player2,Random,0.10,7.60
10,Player1,Balanced,30,Player1,Balanced,0.67,8.13
10,Player1,Balanced,30,Player2,Random,0.23,9.08
