game_number,turn_number,player_name,ai_personality,turn_time
1,1,Player1,Balanced,0.13
1,2,Player2,Random,0.00
1,3,Player1,Balanced,3
1,4,Player1,Balanced,5
1,5,Player2,Random,0.00
1,6,Player2,Random,0.00
1,7,Player1,Balanced,14
1,8,Player1,Balanced,20
1,9,Player2,Random,0.00
1,10,Player1,Balanced,27
1,11,Player1,Balanced,28
1,12,Player2,Random,0.00
1,13,Player1,Balanced,36
1,14,Player2,Random,0.00
1,15,Player2,Random,0.00
1,16,Player1,Balanced,54
1,17,Player2,Random,0.00
1,18,Player1,Balanced,50
1,19,Player2,Random,0.00
1,20,Player1,Balanced,56
1,21,Player2,Random,0.00
1,22,Player1,Balanced,114
2,1,Player1,Balanced,0.14
2,2,Player2,Random,0.00
2,3,Player1,Balanced,3
2,4,Player2,Random,0.00
2,5,Player2,Random,0.00
2,6,Player1,Balanced,8
2,7,Player2,Random,0.00
2,8,Player2,Random,0.00
2,9,Player1,Balanced,19
2,10,Player1,Balanced,18
2,11,Player2,Random,0.00
2,12,Player1,Balanced,25
2,13,Player2,Random,0.00
2,14,Player1,Balanced,32
2,15,Player2,Random,0.00
2,16,Player2,Random,0.00
2,17,Player1,Balanced,39
2,18,Player1,Balanced,55
2,19,Player2,Random,0.00
2,20,Player1,Balanced,49
3,1,Player1,Balanced,0.13
3,2,Player2,Random,0.00
3,3,Player2,Random,0.00
3,4,Player1,Balanced,4
3,5,Player2,Random,0.00
3,6,Player1,Balanced,9
3,7,Player2,Random,0.00
3,8,Player1,Balanced,14
3,9,Player2,Random,0.00
3,10,Player1,Balanced,20
3,11,Player2,Random,0.00
3,12,Player2,Random,0.00
3,13,Player1,Balanced,27
3,14,Player1,Balanced,32
3,15,Player2,Random,0.00
3,16,Player2,Random,0.00
3,17,Player1,Balanced,47
3,18,Player2,Random,0.00
3,19,Player1,Balanced,50
3,20,Player2,Random,0.00
3,21,Player2,Random,0.00
3,22,Player1,Balanced,77
3,23,Player1,Balanced,58
4,1,Player1,Balanced,0.14
4,2,Player2,Random,0.00
4,3,Player1,Balanced,3
4,4,Player2,Random,0.00
4,5,Player1,Balanced,7
4,6,Player2,Random,0.00
4,7,Player2,Random,0.00
4,8,Player2,Random,0.00
4,9,Player1,Balanced,15
4,10,Player1,Balanced,18
4,11,Player1,Balanced,23
4,12,Player2,Random,0.00
4,13,Player2,Random,0.00
4,14,Player2,Random,0.00
4,15,Player1,Balanced,37
4,16,Player2,Random,0.00
4,17,Player1,Balanced,50
4,18,Player1,Balanced,58
4,19,Player2,Random,0.00
4,20,Player2,Random,0.00
4,21,Player1,Balanced,197
4,22,Player1,Balanced,101
5,1,Player1,Balanced,0.14
5,2,Player2,Random,0.00
5,3,Player1,Balanced,3
5,4,Player2,Random,0.00
5,5,Player2,Random,0.00
5,6,Player1,Balanced,8
5,7,Player2,Random,0.00
5,8,Player2,Random,0.00
5,9,Player1,Balanced,14
5,10,Player1,Balanced,18
5,11,Player1,Balanced,23
5,12,Player2,Random,0.00
5,13,Player2,Random,0.00
5,14,Player1,Balanced,32
5,15,Player2,Random,0.00
5,16,Player1,Balanced,43
5,17,Player2,Random,0.00
5,18,Player2,Random,0.00
5,19,Player1,Balanced,55
6,1,Player1,Balanced,0.13
6,2,Player2,Random,0.00
6,3,Player1,Balanced,3
6,4,Player2,Random,0.00
6,5,Player2,Random,0.00
6,6,Player1,Balanced,8
6,7,Player1,Balanced,14
6,8,Player2,Random,0.00
6,9,Player2,Random,0.00
6,10,Player1,Balanced,29
6,11,Player1,Balanced,28
6,12,Player1,Balanced,28
6,13,Player2,Random,0.00
6,14,Player2,Random,0.00
6,15,Player1,Balanced,39
6,16,Player2,Random,0.00
