game_number,winner_name,winner_ai_type,game_length,player_name,player_ai_type,average_score_per_turn,average_move_cost
1,Player1,Combo,23,Player1,Combo,0.91,7.27
1,Player1,Combo,23,Player2,Random,0.30,7.80
2,Player1,Combo,25,Player1,Combo,0.91,8.73
2,Player1,Combo,25,Player2,Random,0.58,8.33
3,Player1,Combo,24,Player1,Combo,1.00,8.40
3,Player1,Combo,24,Player2,Random,0.25,6.67
4,Player1,Combo,25,Player1,Combo,0.91,7.82
4,Player1,Combo,25,Player2,Random,0.17,6.67
5,Player1,Combo,27,Player1,Combo,1.00,8.31
5,Player1,Combo,27,Player2,Random,0.25,8.50
6,Player1,Combo,19,Player1,Combo,1.11,7.56
6,Player1,Combo,19,Player2,Random,0.25,7.25
7,Player1,Combo,24,Player1,Combo,1.00,8.73
7,Player1,Combo,24,Player2,Random,0.36,8.55
8,Player1,Combo,26,Player1,Combo,0.83,7.67
8,Player1,Combo,26,Player2,Random,0.25,7.50
9,Player1,Combo,20,Player1,Combo,1.11,8.89
9,Player1,Combo,20,Player2,Random,0.44,8.22
10,Player1,Combo,29,Player1,Combo,0.77,8.31
10,Player1,Combo,29,Player2,Random,0.36,7.43
