game_number,turn_number,player_name,ai_personality,turn_time
1,1,Player1,Combo,0.14
1,2,Player2,Random,0.00
1,3,Player1,Combo,3
1,4,Player2,Random,0.00
1,5,Player2,Random,0.00
1,6,Player1,Combo,9
1,7,Player2,Random,0.00
1,8,Player1,Combo,15
1,9,Player2,Random,0.00
1,10,Player1,Combo,21
1,11,Player2,Random,0.00
1,12,Player1,Combo,31
1,13,Player2,Random,0.00
1,14,Player1,Combo,40
1,15,Player2,Random,0.00
1,16,Player2,Random,0.00
1,17,Player1,Combo,42
1,18,Player1,Combo,51
1,19,Player1,Combo,55
1,20,Player2,Random,0.00
1,21,Player1,Combo,147
2,1,Player1,Combo,0.14
2,2,Player2,Random,0.00
2,3,Player2,Random,0.00
2,4,Player1,Combo,4
2,5,Player2,Random,0.00
2,6,Player1,Combo,9
2,7,Player2,Random,0.00
2,8,Player1,Combo,18
2,9,Player2,Random,0.00
2,10,Player2,Random,0.00
2,11,Player1,Combo,23
2,12,Player1,Combo,34
2,13,Player2,Random,0.00
2,14,Player2,Random,0.00
2,15,Player1,Combo,41
2,16,Player1,Combo,50
2,17,Player2,Random,0.00
2,18,Player2,Random,0.00
2,19,Player1,Combo,55
2,20,Player2,Random,0.00
2,21,Player2,Random,0.00
2,22,Player1,Combo,110
2,23,Player1,Combo,0.00
3,1,Player1,Combo,0.14
3,2,Player2,Random,0.00
3,3,Player2,Random,0.00
3,4,Player2,Random,0.00
3,5,Player1,Combo,5
3,6,Player1,Combo,10
3,7,Player2,Random,0.00
3,8,Player2,Random,0.00
3,9,Player1,Combo,20
3,10,Player2,Random,0.00
3,11,Player1,Combo,28
3,12,Player2,Random,0.00
3,13,Player1,Combo,43
3,14,Player1,Combo,45
3,15,Player2,Random,0.00
3,16,Player2,Random,0.00
3,17,Player2,Random,0.00
3,18,Player1,Combo,56
3,19,Player2,Random,0.00
3,20,Player2,Random,0.00
3,21,Player1,Combo,147
3,22,Player1,Combo,0.01
4,1,Player1,Combo,0.15
4,2,Player2,Random,0.00
4,3,Player2,Random,0.00
4,4,Player1,Combo,4
4,5,Player1,Combo,7
4,6,Player2,Random,0.00
4,7,Player1,Combo,11
4,8,Player2,Random,0.00
4,9,Player2,Random,0.00
4,10,Player1,Combo,21
4,11,Player2,Random,0.00
4,12,Player1,Combo,28
4,13,Player2,Random,0.00
4,14,Player1,Combo,40
4,15,Player2,Random,0.00
4,16,Player1,Combo,67
4,17,Player2,Random,0.00
4,18,Player2,Random,0.00
4,19,Player2,Random,0.00
4,20,Player1,Combo,76
4,21,Player1,Combo,185
4,22,Player2,Random,0.00
4,23,Player1,Combo,108
5,1,Player1,Combo,0.15
5,2,Player2,Random,0.00
5,3,Player2,Random,0.00
5,4,Player1,Combo,4
5,5,Player1,Combo,7
5,6,Player2,Random,0.00
5,7,Player2,Random,0.00
5,8,Player1,Combo,16
5,9,Player1,Combo,24
