game_number,winner_name,winner_ai_type,game_length,player_name,player_ai_type,average_score_per_turn,average_move_cost
1,Player1,Greedy,27,Player1,Greedy,0.83,7.00
1,Player1,Greedy,27,Player2,Random,0.08,6.77
2,Player1,Greedy,32,Player1,Greedy,0.79,8.57
2,Player1,Greedy,32,Player2,Random,0.19,7.25
3,Player1,Greedy,31,Player1,Greedy,0.59,7.06
3,Player1,Greedy,31,Player2,Random,0.17,9.33
4,Player1,Greedy,26,Player1,Greedy,0.83,7.00
4,Player1,Greedy,26,Player2,Random,0.33,7.17
5,Player1,Greedy,29,Player1,Greedy,0.77,8.00
5,Player1,Greedy,29,Player2,Random,0.36,6.71
6,Player1,Greedy,28,Player1,Greedy,0.73,7.07
6,Player1,Greedy,28,Player2,Random,0.64,9.09
7,Player1,Greedy,22,Player1,Greedy,1.00,8.20
7,Player1,Greedy,22,Player2,Random,0.40,7.20
8,Player1,Greedy,20,Player1,Greedy,1.00,7.40
8,Player1,Greedy,20,Player2,Random,0.38,8.00
9,Player1,Greedy,29,Player1,Greedy,0.92,9.17
9,Player1,Greedy,29,Player2,Random,0.40,7.07
10,Player1,Greedy,21,Player1,Greedy,1.00,7.60
10,Player1,Greedy,21,Player2,Random,0.44,8.44
