game_number,turn_number,player_name,ai_personality,turn_time
1,1,Player1,Greedy,0.15
1,2,Player2,Random,0.00
1,3,Player2,Random,0.00
1,4,Player2,Random,0.00
1,5,Player1,Greedy,5
1,6,Player2,Random,0.00
1,7,Player1,Greedy,11
1,8,Player2,Random,0.00
1,9,Player1,Greedy,17
1,10,Player1,Greedy,22
1,11,Player2,Random,0.00
1,12,Player2,Random,0.00
1,13,Player1,Greedy,30
1,14,Player2,Random,0.00
1,15,Player2,Random,0.00
1,16,Player1,Greedy,46
1,17,Player2,Random,0.00
1,18,Player2,Random,0.00
1,19,Player1,Greedy,61
1,20,Player2,Random,0.00
1,21,Player1,Greedy,181
1,22,Player1,Greedy,115
1,23,Player1,Greedy,118
1,24,Player2,Random,0.00
1,25,Player1,Greedy,0.01
2,1,Player1,Greedy,0.14
2,2,Player2,Random,0.00
2,3,Player2,Random,0.00
2,4,Player1,Greedy,4
2,5,Player2,Random,0.00
2,6,Player2,Random,0.00
2,7,Player1,Greedy,12
2,8,Player2,Random,0.00
2,9,Player2,Random,0.00
2,10,Player1,Greedy,24
2,11,Player1,Greedy,36
2,12,Player2,Random,0.00
2,13,Player2,Random,0.00
2,14,Player1,Greedy,60
2,15,Player2,Random,0.00
2,16,Player2,Random,0.00
2,17,Player2,Random,0.00
2,18,Player1,Greedy,67
2,19,Player1,Greedy,75
2,20,Player2,Random,0.00
2,21,Player1,Greedy,203
2,22,Player2,Random,0.00
2,23,Player2,Random,0.00
2,24,Player1,Greedy,169
2,25,Player1,Greedy,164
2,26,Player2,Random,0.00
2,27,Player1,Greedy,143
2,28,Player1,Greedy,147
2,29,Player2,Random,0.00
2,30,Player1,Greedy,204
3,1,Player1,Greedy,0.14
3,2,Player2,Random,0.00
3,3,Player1,Greedy,3
3,4,Player2,Random,0.00
3,5,Player1,Greedy,8
3,6,Player1,Greedy,12
3,7,Player1,Greedy,15
3,8,Player2,Random,0.00
3,9,Player1,Greedy,21
3,10,Player2,Random,0.00
3,11,Player2,Random,0.00
3,12,Player1,Greedy,30
3,13,Player1,Greedy,43
3,14,Player1,Greedy,59
3,15,Player2,Random,0.00
3,16,Player2,Random,0.00
3,17,Player2,Random,0.00
3,18,Player1,Greedy,86
3,19,Player1,Greedy,100
3,20,Player2,Random,0.00
3,21,Player1,Greedy,328
3,22,Player1,Greedy,215
3,23,Player2,Random,0.00
3,24,Player1,Greedy,267
3,25,Player2,Random,0.00
3,26,Player1,Greedy,786
