game_number,winner_name,winner_ai_type,game_length,player_name,player_ai_type,average_score_per_turn,average_move_cost
1,Player1,Power,32,Player1,Power,0.71,7.65
1,Player1,Power,32,Player2,Random,0.38,9.08
2,Player1,Power,28,Player1,Power,0.67,6.93
2,Player1,Power,28,Player2,Random,0.27,8.73
3,Player1,Power,21,Player1,Power,0.91,6.18
3,Player1,Power,21,Player2,Random,0.12,8.00
4,Player1,Power,23,Player1,Power,0.91,7.45
4,Player1,Power,23,Player2,Random,0.30,7.80
5,Player1,Power,21,Player1,Power,1.00,8.20
5,Player1,Power,21,Player2,Random,0.33,9.11
6,Player1,Power,22,Player1,Power,0.91,8.00
6,Player1,Power,22,Player2,Random,0.44,8.89
7,Player1,Power,22,Player1,Power,1.20,8.60
7,Player1,Power,22,Player2,Random,0.40,7.80
8,Player1,Power,24,Player1,Power,0.83,7.83
8,Player1,Power,24,Player2,Random,0.50,8.80
9,Player1,Power,24,Player1,Power,0.77,6.00
9,Player1,Power,24,Player2,Random,0.11,8.67
10,Player1,Power,22,Player1,Power,0.83,6.83
10,Player1,Power,22,Player2,Random,0.25,9.25
