game_number,turn_number,player_name,ai_personality,turn_time
1,1,Player1,Power,0.13
1,2,Player2,Random,0.00
1,3,Player1,Power,3
1,4,Player2,Random,0.00
1,5,Player1,Power,7
1,6,Player2,Random,0.00
1,7,Player1,Power,14
1,8,Player2,Random,0.00
1,9,Player1,Power,20
1,10,Player2,Random,0.00
1,11,Player1,Power,25
1,12,Player2,Random,0.00
1,13,Player1,Power,37
1,14,Player1,Power,51
1,15,Player2,Random,0.00
1,16,Player2,Random,0.00
1,17,Player1,Power,77
1,18,Player1,Power,75
1,19,Player2,Random,0.00
1,20,Player1,Power,79
1,21,Player1,Power,165
1,22,Player2,Random,0.00
1,23,Player1,Power,116
1,24,Player1,Power,171
1,25,Player2,Random,0.00
1,26,Player1,Power,531
1,27,Player2,Random,0.00
1,28,Player2,Random,0.00
1,29,Player1,Power,248
1,30,Player1,Power,253
2,1,Player1,Power,0.14
2,2,Player2,Random,0.00
2,3,Player1,Power,3
2,4,Player1,Power,5
2,5,Player1,Power,6
2,6,Player2,Random,0.00
2,7,Player1,Power,12
2,8,Player1,Power,15
2,9,Player2,Random,0.00
2,10,Player2,Random,0.00
2,11,Player2,Random,0.00
2,12,Player1,Power,27
2,13,Player2,Random,0.00
2,14,Player1,Power,36
2,15,Player2,Random,0.00
2,16,Player1,Power,44
2,17,Player1,Power,44
2,18,Player2,Random,0.00
2,19,Player1,Power,56
2,20,Player2,Random,0.00
2,21,Player1,Power,118
2,22,Player1,Power,92
2,23,Player2,Random,0.00
2,24,Player2,Random,0.00
2,25,Player1,Power,138
2,26,Player1,Power,347
3,1,Player1,Power,0.14
3,2,Player2,Random,0.00
3,3,Player1,Power,3
3,4,Player2,Random,0.00
3,5,Player2,Random,0.00
3,6,Player1,Power,9
3,7,Player1,Power,15
3,8,Player2,Random,0.00
3,9,Player1,Power,29
3,10,Player1,Power,29
3,11,Player2,Random,0.00
3,12,Player1,Power,39
3,13,Player2,Random,0.00
3,14,Player2,Random,0.00
3,15,Player1,Power,61
3,16,Player1,Power,69
3,17,Player2,Random,0.00
3,18,Player1,Power,55
3,19,Player1,Power,50
4,1,Player1,Power,0.14
4,2,Player2,Random,0.00
4,3,Player2,Random,0.00
4,4,Player1,Power,4
4,5,Player2,Random,0.00
4,6,Player2,Random,0.00
4,7,Player1,Power,10
4,8,Player2,Random,0.00
4,9,Player1,Power,17
4,10,Player2,Random,0.00
4,11,Player1,Power,20
4,12,Player1,Power,30
4,13,Player2,Random,0.00
4,14,Player1,Power,34
4,15,Player2,Random,0.00
4,16,Player1,Power,45
4,17,Player1,Power,45
4,18,Player2,Random,0.00
4,19,Player2,Random,0.00
4,20,Player1,Power,59
4,21,Player1,Power,0.01
5,1,Player1,Power,0.14
5,2,Player2,Random,0.00
5,3,Player1,Power,3
5,4,Player2,Random,0.00
5,5,Player1,Power,7
5,6,Player2,Random,0.00
5,7,Player2,Random,0.00
5,8,Player1,Power,15
5,9,Player2,Random,0.00
5,10,Player1,Power,21
5,11,Player2,Random,0.00
5,12,Player1,Power,30
5,13,Player2,Random,0.00
5,14,Player1,Power,42
5,15,Player2,Random,0.00
5,16,Player1,Power,59
5,17,Player2,Random,0.00
5,18,Player1,Power,52
5,19,Player1,Power,0.00
6,1,Player1,Power,0.13
6,2,Player2,Random,0.00
6,3,Player1,Power,3
6,4,Player2,Random,0.00
6,5,Player1,Power,7
6,6,Player2,Random,0.00
6,7,Player1,Power,11
6,8,Player2,Random,0.00
6,9,Player2,Random,0.00
6,10,Player1,Power,19
6,11,Player1,Power,23
6,12,Player2,Random,0.00
6,13,Player2,Random,0.00
6,14,Player1,Power,31
6,15,Player1,Power,38
6,16,Player2,Random,0.00
6,17,Player2,Random,0.00
6,18,Player1,Power,50
6,19,Player1,Power,57
6,20,Player1,Power,0.00
7,1,Player1,Power,0.14
7,2,Player2,Random,0.00
7,3,Player2,Random,0.00
7,4,Player1,Power,4
7,5,Player1,Power,7
7,6,Player2,Random,0.00
7,7,Player2,Random,0.00
7,8,Player1,Power,15
7,9,Player2,Random,0.00
7,10,Player2,Random,0.00
7,11,Player1,Power,20
7,12,Player1,Power,25
7,13,Player2,Random,0.00
7,14,Player2,Random,0.00
7,15,Player1,Power,34
7,16,Player1,Power,35
7,17,Player2,Random,0.00
7,18,Player2,Random,0.00
7,19,Player1,Power,62
7,20,Player1,Power,66
8,1,Player1,Power,0.14
8,2,Player2,Random,0.00
8,3,Player2,Random,0.00
8,4,Player1,Power,4
8,5,Player2,Random,0.00
8,6,Player1,Power,8
8,7,Player2,Random,0.00
8,8,Player1,Power,13
8,9,Player1,Power,16
8,10,Player1,Power,21
8,11,Player2,Random,0.00
8,12,Player2,Random,0.00
8,13,Player1,Power,32
8,14,Player1,Power,31
8,15,Player2,Random,0.00
8,16,Player1,Power,43
8,17,Player2,Random,0.00
8,18,Player2,Random,0.00
8,19,Player1,Power,70
8,20,Player1,Power,65
8,21,Player2,Random,0.00
8,22,Player1,Power,92
9,1,Player1,Power,0.14
9,2,Player2,Random,0.00
9,3,Player1,Power,3
9,4,Player2,Random,0.00
9,5,Player2,Random,0.00
9,6,Player1,Power,10
9,7,Player1,Power,17
9,8,Player1,Power,15
9,9,Player1,Power,17
9,10,Player2,Random,0.00
9,11,Player1,Power,22
9,12,Player2,Random,0.00
9,13,Player2,Random,0.00
9,14,Player1,Power,34
9,15,Player1,Power,41
9,16,Player1,Power,48
9,17,Player2,Random,0.00
9,18,Player2,Random,0.00
9,19,Player1,Power,67
9,20,Player1,Power,58
9,21,Player2,Random,0.00
9,22,Player1,Power,81
10,1,Player1,Power,0.15
10,2,Player2,Random,0.00
10,3,Player1,Power,3
10,4,Player1,Power,5
10,5,Player2,Random,0.00
10,6,Player1,Power,12
10,7,Player2,Random,0.00
10,8,Player2,Random,0.00
10,9,Player1,Power,19
10,10,Player1,Power,24
10,11,Player2,Random,0.00
10,12,Player1,Power,33
10,13,Player1,Power,33
10,14,Player2,Random,0.00
10,15,Player2,Random,0.00
10,16,Player1,Power,48
10,17,Player1,Power,49
10,18,Player2,Random,0.00
10,19,Player1,Power,52
10,20,Player1,Power,52
